nodes	start	end	len
2821	662037	663210	1173
2821	617845	622721	4876
2821	507187	507924	737
2821	447975	449342	1367
2821	395182	396322	1140
2821	341493	342099	606
2821	317337	317685	348
2821	312063	312623	560
2821	284972	285614	642
2821	215445	215683	238
2821	86458	89527	3069
2821	76860	79191	2331
2821	27980	29130	1150
2821	24337	25551	1214
2821	19844	19997	153
2821	3665431	3666094	663
2821	3677499	3678065	566
2821	3837361	3838066	705
2821	4042508	4044822	2314
2821	4062458	4063235	777
2821	1391199	1400521	9322
2821	3657964	3659037	1073
2821	1433759	1436269	2510
2821	1568543	1571040	2497
2821	3616286	3616759	473
2821	3588398	3589192	794
2821	3575873	3577761	1888
2821	3538878	3539845	967
2821	3525499	3525842	343
2821	3522681	3523112	431
2821	3458975	3459338	363
2821	3430239	3430904	665
2821	3347654	3348365	711
2821	3282344	3283905	1561
2821	3079931	3080421	490
2821	3041576	3047225	5649
2821	3661035	3662571	1536
2821	3022693	3025242	2549
2821	2893726	2895782	2056
2821	2823163	2826372	3209
2821	2790597	2791461	864
2821	2739352	2740587	1235
2821	2735334	2737161	1827
2821	2624922	2625165	243
2821	2608655	2609840	1185
2821	2593653	2598404	4751
2821	2330025	2331690	1665
2821	2209666	2214521	4855
2821	2170849	2172727	1878
2821	1953965	1954908	943
2821	1612251	1616382	4131
2821	1522630	1523577	947
2821	3647198	3648943	1745
2979	19843	19967	124
3098	4083308	4083448	140
3098	1259381	1259508	127
3098	1210756	1211080	324
3098	1204317	1205415	1098
3098	1193886	1194368	482
3098	1178587	1178715	128
3098	1074980	1075871	891
3098	1045230	1045630	400
3098	979160	979313	153
3098	972183	972789	606
3098	936270	937180	910
3098	663304	663473	169
3098	582661	582852	191
3098	523409	523550	141
3098	443345	449016	5671
3098	390237	393742	3505
3098	316353	316490	137
3098	311228	312669	1441
3098	177232	177688	456
3098	4086842	4088297	1455
3098	1298880	1299023	143
3098	1536658	1536920	262
3098	3362893	3363177	284
3098	2026262	2026443	181
3098	3965592	3965813	221
3098	1810648	1811303	655
3098	3934263	3935466	1203
3098	3890580	3890736	156
3098	3832456	3832622	166
3098	3811368	3811906	538
3098	3627790	3628366	576
3098	3576214	3578721	2507
3098	3509811	3510051	240
3098	3660108	3663905	3797
3098	3428355	3430560	2205
3098	3347280	3348496	1216
3098	3343025	3344105	1080
3098	2618083	2618166	83
3098	2507539	2508320	781
3098	2421272	2421486	214
3098	2215360	2215439	79
3098	3443329	3443852	523
3098	2169988	2170203	215
3098	2170777	2172580	1803
3100	3110678	3110817	139
3100	3035482	3035635	153
3100	2874610	2874730	120
3100	2726962	2727146	184
3100	2781913	2782080	167
3100	2623811	2624187	376
3100	3186016	3186164	148
3100	2791180	2791506	326
3100	3547718	3548686	968
3100	4003517	4003596	79
3100	3568454	3568655	201
3100	3619366	3620902	1536
3100	3658136	3658339	203
3100	3738054	3738208	154
3100	3753159	3753497	338
3100	3855084	3855211	127
3100	3862919	3863104	185
3100	2592675	2592817	142
3100	4028483	4028525	42
3100	3555450	3556061	611
3100	2553088	2553171	83
3100	1762451	1762561	110
3100	2414250	2414285	35
3100	19835	19993	158
3100	311276	312584	1308
3100	353878	354170	292
3100	531092	531155	63
3100	541523	541730	207
3100	624778	625195	417
3100	898375	898525	150
3100	979572	979755	183
3100	1059318	1059958	640
3100	1209650	1210089	439
3100	2483366	2483555	189
3100	1339455	1339782	327
3100	1607348	1607608	260
3100	1620422	1620575	153
3100	1664923	1665876	953
3100	1808537	1809249	712
3100	2020017	2022567	2550
3100	2142308	2143262	954
3100	2144989	2145153	164
3100	2232728	2233227	499
3100	2323068	2323312	244
3100	1574020	1576494	2474
3103	147847	150652	2805
3103	19839	20006	167
3103	286164	288179	2015
3103	972816	973031	215
3103	597687	600359	2672
3103	396750	397692	942
3103	2737595	2737737	142
3103	2748678	2749186	508
3103	2891845	2896626	4781
3103	2897381	2897807	426
3103	2972484	2973029	545
3103	3109406	3111165	1759
3103	3279666	3280409	743
3103	3385606	3386229	623
3103	3425739	3427814	2075
3103	3536930	3537098	168
3103	3554201	3556249	2048
3103	3565700	3565933	233
3103	3595361	3595461	100
3103	3649094	3649964	870
3103	3660024	3660709	685
3103	3850286	3852137	1851
3103	3889063	3890355	1292
3103	3901279	3901451	172
3103	3968835	3968964	129
3103	4029392	4029734	342
3103	2623779	2624863	1084
3103	2526026	2529579	3553
3103	2726142	2728337	2195
3103	2416504	2418066	1562
3103	640448	642443	1995
3103	816167	823319	7152
3103	846220	846545	325
3103	859308	861021	1713
3103	897191	897560	369
3103	976436	977765	1329
3103	1045223	1045836	613
3103	2482846	2482960	114
3103	1059191	1059843	652
3103	1203592	1203715	123
3103	1056393	1057123	730
3103	1335787	1339710	3923
3103	2329121	2329778	657
3103	1209691	1210282	591
3103	2222839	2223007	168
3103	2189048	2189145	97
3103	2294653	2294910	257
3103	1808041	1808842	801
3103	1653181	1653937	756
3103	1517588	1518096	508
3103	1416564	1416903	339
3103	2142817	2145369	2552
3103	1762254	1763231	977
4801	19847	19990	143
4946	19841	19986	145
5108	2480105	2480268	163
5108	2014320	2014325	5
5108	19840	19987	147
